Defect,KS_gap (eV),VBM (eV),CBM (eV),Defect_levels_rel_VBM (eV),Magnetic_moment (μB),Spin_active,Density_IPR_proxy,Max_charge_density
hBN_5x5_C-VN,0.7079798274780196,-2.5205448728934914,-1.8125650454154718,"[0.0, 0.708]",7.596317484770288e-14,False,684.0479436572126,405.45939369150966
hBN_5x5_CB,4.070661401866884,-5.35189302487282,-1.2812316230059362,"[-0.157, -0.155, -0.065, -0.003, -0.002, 0.0, 4.071]",0.0,False,663.184657314525,396.68823123814445
hBN_5x5_CN,4.0501801322725814,-4.280810567427012,-0.23063043515443077,"[0.0, 4.05, 4.064, 4.098, 4.109, 4.217, 4.22]",0.0,False,668.8870111841569,395.52842195784706
hBN_5x5_VB,0.4157699844026368,-5.203259857654426,-4.787489873251789,"[-0.918, -0.303, -0.284, -0.28, -0.078, -0.072, 0.0, 0.416, 0.425]",4.998944936135024e-11,False,712.8807094078148,407.7673514417984
hBN_5x5_VN,3.1353511156390024,-5.36868900766311,-2.2333378920241076,"[-0.758, -0.076, -0.075, -0.036, -0.034, 0.0, 3.135]",-7.463678927049194e-12,False,702.1478752820198,403.9679954099819
hBN_5x5_pristine,5.1150265748599475,-5.313967113072085,-0.19894053821213767,"[-0.038, -0.037, -0.024, -0.023, -0.0, 0.0, 5.115, 5.115, 5.136, 5.136, 5.168, 5.168]",0.0,False,668.8481624661653,398.15229271119296
