Defect,ZPL_eV,ZPL_nm,in_560_590,Fp_at_ZPL,tau_cav_over_tau0,tau_cav_ns_assuming_tau0_1.0ns,lambda_p_nm,Fp_max,delta_lambda_to_peak_nm
hBN_5x5_VN,1.906326,650.3829512895486,False,0.0,inf,inf,587.7049591738788,26.08262711864407,62.67799211566978
hBN_5x5_VB,1.378603,899.3466066735674,False,0.0,inf,inf,587.7049591738788,26.08262711864407,311.6416474996886
hBN_5x5_pristine,5.123385,241.99663503718733,False,0.0,inf,inf,587.7049591738788,26.08262711864407,345.7083241366915
hBN_5x5_CN,1.163124,1065.9585134517042,False,0.0,inf,inf,587.7049591738788,26.08262711864407,478.2535542778254
hBN_5x5_C-VN,1.161468,1067.4783377587673,False,0.0,inf,inf,587.7049591738788,26.08262711864407,479.7733785848885
hBN_5x5_CB,1.101538,1125.5552963220516,False,0.0,inf,inf,587.7049591738788,26.08262711864407,537.8503371481728
