freq(1/um),P(a.u.)
1.587359185921642046e+00,-8.492013515992713479e-17
1.588180587828975421e+00,-4.418530428693112633e-16
1.589001989736308795e+00,-1.412444380205490901e-16
1.589823391643642170e+00,-3.926167117113132932e-17
1.590644793550975322e+00,-1.697589551569178568e-16
1.591466195458308697e+00,-1.632808471763169678e-16
1.592287597365642071e+00,-8.653288589149932264e-17
1.593108999272975446e+00,2.081397120629047137e-16
1.593930401180308598e+00,-5.312590645178971727e-17
1.594751803087641973e+00,-1.206717017976366435e-16
1.595573204994975347e+00,-6.364266752489911028e-17
1.596394606902308722e+00,2.643013845976538434e-16
1.597216008809641874e+00,-4.962935444552396547e-16
1.598037410716975248e+00,5.925164872633281732e-17
1.598858812624308623e+00,-1.291826888516478533e-16
1.599680214531641997e+00,-2.582027473774228810e-16
1.600501616438975372e+00,1.023215800283194810e-15
1.601323018346308524e+00,3.743208000506204058e-16
1.602144420253641899e+00,-5.032324383591468830e-16
1.602965822160975273e+00,-4.131894479342257398e-16
1.603787224068308648e+00,-4.305366826939938107e-16
1.604608625975641800e+00,-1.892474892073447990e-16
1.605430027882975175e+00,4.227304270520981788e-16
1.606251429790308549e+00,1.075094874236626197e-15
1.607072831697641924e+00,-1.095694715513850781e-15
1.607894233604975076e+00,4.384513585531379931e-16
1.608715635512308451e+00,-6.157726238631422433e-16
1.609537037419641825e+00,2.998903209094905264e-16
1.610358439326975200e+00,-1.142749089799721673e-15
1.611179841234308352e+00,4.692427002517263190e-16
1.612001243141641726e+00,-7.912507454799211359e-16
1.612822645048975101e+00,4.550396517921662110e-16
1.613644046956308475e+00,-6.820715867106308394e-16
1.614465448863641628e+00,5.724587470723463412e-16
1.615286850770975002e+00,-6.958409543011967457e-16
1.616108252678308377e+00,-1.044411952755286421e-15
1.616929654585641751e+00,-7.082008590675314963e-16
1.617751056492974904e+00,9.794682426234047057e-16
1.618572458400308278e+00,-1.156626877607536130e-15
1.619393860307641653e+00,6.712295649857757951e-16
1.620215262214975027e+00,-2.028650684937627346e-15
1.621036664122308402e+00,-1.580766767483865465e-16
1.621858066029641554e+00,7.741203511546501659e-16
1.622679467936974929e+00,-1.616870699827632762e-15
1.623500869844308303e+00,-1.354168513434395038e-16
1.624322271751641455e+00,9.881418600032887412e-16
1.625143673658974830e+00,4.382345181186408922e-16
1.625965075566308204e+00,-9.304623044270599053e-16
1.626786477473641579e+00,-1.884343375779806706e-16
1.627607879380974953e+00,-1.321967708911575556e-15
1.628429281288308106e+00,3.698213610348055624e-16
1.629250683195641480e+00,2.688821387764050996e-16
1.630072085102974855e+00,1.166601537594402771e-16
1.630893487010308229e+00,3.729655473350135253e-17
1.631714888917641382e+00,-1.096236816600093533e-15
1.632536290824974756e+00,-4.078768572890467681e-16
1.633357692732308131e+00,-2.476317761956892127e-15
1.634179094639641505e+00,-9.099708833670838715e-16
1.635000496546974658e+00,5.802650027142419731e-16
1.635821898454308032e+00,-1.939637686576567432e-16
1.636643300361641407e+00,-1.452505650478830290e-15
1.637464702268974781e+00,-3.191023834059336650e-15
1.638286104176307933e+00,4.192609801001445646e-16
1.639107506083641308e+00,5.366800753803246948e-16
1.639928907990974682e+00,-1.393416632078370299e-15
1.640750309898308057e+00,-1.696776399939814439e-16
1.641571711805641209e+00,7.372574772901430151e-17
1.642393113712974584e+00,2.550260350120403530e-15
1.643214515620307958e+00,-1.097754699641573239e-15
1.644035917527641333e+00,-1.615027556134407405e-15
1.644857319434974485e+00,-1.915351557912892133e-15
1.645678721342307860e+00,-4.490765398434959366e-16
1.646500123249641234e+00,-5.106592232406725884e-17
1.647321525156974609e+00,-1.959153325681306512e-16
1.648142927064307983e+00,-1.339640204323089279e-15
1.648964328971641136e+00,2.363560736018399666e-17
1.649785730878974510e+00,4.251156718315662886e-16
1.650607132786307885e+00,-5.159718138858515601e-16
1.651428534693641259e+00,5.983711789947498971e-16
1.652249936600974412e+00,5.020940260780371034e-16
1.653071338508307786e+00,1.553986973823473505e-15
1.653892740415641160e+00,8.113084856709029680e-16
1.654714142322974535e+00,-5.421010862427522170e-19
1.655535544230307687e+00,-1.461504528510459977e-15
1.656356946137641062e+00,-7.826855483172856509e-16
1.657178348044974436e+00,-7.555804940051480401e-16
1.657999749952307811e+00,-5.032866484677711583e-16
1.658821151859640963e+00,-4.265251346557974443e-16
1.659642553766974338e+00,5.791808005417564686e-16
1.660463955674307712e+00,-7.103150533038782299e-16
1.661285357581641087e+00,-5.968532959532701909e-16
1.662106759488974461e+00,3.848917712323540741e-17
1.662928161396307614e+00,-1.362842130814279074e-16
1.663749563303640988e+00,-7.067913962433003405e-16
1.664570965210974363e+00,7.328122483829524469e-16
