freq(1/um),P(a.u.)
1.588180587828975421e+00,-2.534898560588999539e-16
1.589001989736308795e+00,-5.073049727695455591e-17
1.589823391643642170e+00,-1.026231237575420119e-16
1.590644793550975322e+00,-3.282422077199864674e-16
1.591466195458308697e+00,-3.247863132951889220e-16
1.592287597365642071e+00,6.351425733009535834e-16
1.593108999272975446e+00,-6.002244870833423063e-17
1.593930401180308598e+00,2.375808832435696849e-16
1.594751803087641973e+00,-5.491145190460178238e-17
1.595573204994975347e+00,1.696878043893484955e-16
1.596394606902308722e+00,-2.704948895079772875e-16
1.597216008809641874e+00,7.275572559781867676e-16
1.598037410716975248e+00,5.246251024750014924e-16
1.598858812624308623e+00,5.454417841867231775e-16
1.599680214531641997e+00,4.964493985175344459e-16
1.600501616438975372e+00,-1.357692170494972927e-16
1.601323018346308524e+00,2.053478914687545398e-16
1.602144420253641899e+00,3.594130201789447199e-17
1.602965822160975273e+00,3.163566414041141250e-16
1.603787224068308648e+00,5.500360908926305026e-16
1.604608625975641800e+00,3.251251264740906421e-17
1.605430027882975175e+00,-9.485413756532556917e-17
1.606251429790308549e+00,-3.598602535750949905e-16
1.607072831697641924e+00,-1.199425758366401418e-15
1.607894233604975076e+00,4.521123059264553490e-17
1.608715635512308451e+00,1.847209451372178179e-16
1.609537037419641825e+00,3.083742029091895986e-16
1.610358439326975200e+00,8.851155485628536823e-17
1.611179841234308352e+00,7.443725540470791380e-16
1.612001243141641726e+00,7.203168183450570083e-17
1.612822645048975101e+00,4.594035655364203663e-16
1.613644046956308475e+00,1.462859781226066858e-16
1.614465448863641628e+00,-1.665334536937734811e-16
1.615286850770975002e+00,1.596975589962523756e-15
1.616108252678308377e+00,1.038123580154870496e-17
1.616929654585641751e+00,-1.040942505803332807e-15
1.617751056492974904e+00,8.256741644563359017e-16
1.618572458400308278e+00,4.531151929360044406e-16
1.619393860307641653e+00,-1.340751511549886921e-15
1.620215262214975027e+00,5.857673287396059081e-16
1.621036664122308402e+00,4.103163121771391531e-16
1.621858066029641554e+00,1.767249541151372227e-15
1.622679467936974929e+00,-6.545870616381233020e-16
1.623500869844308303e+00,1.633946884044279457e-15
1.624322271751641455e+00,4.934475137524652055e-16
1.625143673658974830e+00,1.679564690451607056e-15
1.625965075566308204e+00,-1.123992392215722447e-15
1.626786477473641579e+00,-8.276257283668098097e-16
1.627607879380974953e+00,-1.051079796116072274e-15
1.628429281288308106e+00,1.242712530102885182e-15
1.629250683195641480e+00,2.590972141697234221e-16
1.630072085102974855e+00,2.486075581509261667e-16
1.630893487010308229e+00,-5.881796785733861554e-17
1.631714888917641382e+00,-5.092768654707535703e-16
1.632536290824974756e+00,1.066746517508487813e-15
1.633357692732308131e+00,-2.504181757789769591e-15
1.634179094639641505e+00,-3.528535970354074180e-16
1.635000496546974658e+00,-8.825134633488884717e-16
1.635821898454308032e+00,4.384052799608073592e-15
1.636643300361641407e+00,4.258068507165257977e-15
1.637464702268974781e+00,-5.930585883495709254e-16
1.638286104176307933e+00,2.518737171955387488e-15
1.639107506083641308e+00,1.390895862027341501e-15
1.639928907990974682e+00,-2.656403742806734414e-15
1.640750309898308057e+00,-9.619041674291395339e-16
1.641571711805641209e+00,-4.364591370611958787e-15
1.642393113712974584e+00,-9.322783430659731252e-16
1.643214515620307958e+00,2.631060517024885748e-15
1.644035917527641333e+00,-2.443791696782326994e-16
1.644857319434974485e+00,3.507665078533728220e-16
1.645678721342307860e+00,5.669835261012945438e-16
1.646500123249641234e+00,-8.392266916124047071e-16
1.647321525156974609e+00,3.226043564230618443e-16
1.648142927064307983e+00,9.416295868036606009e-16
1.648964328971641136e+00,4.761273840470092722e-16
1.649785730878974510e+00,9.057967050030146794e-16
1.650607132786307885e+00,7.826313382086613757e-16
1.651428534693641259e+00,-5.339695699491109337e-17
1.652249936600974412e+00,1.205361765260759555e-16
1.653071338508307786e+00,4.421376459395887082e-16
1.653892740415641160e+00,-1.518967243652191712e-16
1.654714142322974535e+00,2.312332183368459582e-16
1.655535544230307687e+00,6.146071065277203260e-16
1.656356946137641062e+00,7.314569956673455664e-16
1.657178348044974436e+00,3.226856715859982572e-16
1.657999749952307811e+00,-1.217830090244342855e-15
1.658821151859640963e+00,-4.718989955743158049e-16
1.659642553766974338e+00,7.190970909010108159e-16
1.660463955674307712e+00,1.295621596120177799e-17
1.661285357581641087e+00,4.381532029557044794e-16
1.662106759488974461e+00,1.803299263386515250e-16
1.662928161396307614e+00,1.449009098472564538e-15
1.663749563303640988e+00,-9.276975888872218690e-16
1.664570965210974363e+00,-8.908076099684025806e-17
1.665392367118307515e+00,5.936006894358136776e-18
1.666213769025640890e+00,-1.703959239332530906e-16
1.667035170932974264e+00,8.970417724601942311e-17
1.667856572840307638e+00,3.656336301435803016e-16
1.668677974747641013e+00,3.793352350983658638e-16
1.669499376654974165e+00,3.921559257880069538e-16
1.670320778562307540e+00,2.305691445061985867e-16
1.671142180469640914e+00,3.934840734493016967e-16
1.671963582376974067e+00,-5.797771117366234961e-17
1.672784984284307441e+00,-1.088674506447007140e-16
1.673606386191640816e+00,9.157036023541009762e-16
1.674427788098974190e+00,-4.906489168947369972e-16
1.675249190006307565e+00,2.470896751094464605e-16
1.676070591913640717e+00,1.603060674655598650e-16
1.676891993820974092e+00,3.083674266456115642e-16
1.677713395728307466e+00,2.381111258685508769e-16
1.678534797635640841e+00,-1.806551869903971763e-16
1.679356199542973993e+00,-3.977802245577755080e-16
1.680177601450307368e+00,-1.884648307640818254e-16
1.680999003357640742e+00,-1.171277159463246509e-16
1.681820405264974116e+00,-1.759727888579754040e-16
1.682641807172307269e+00,-4.352461858807277206e-16
1.683463209079640643e+00,-1.295282782941276079e-17
1.684284610986974018e+00,-1.541532201367046273e-16
1.685106012894307392e+00,3.760826285809093505e-17
1.685927414801640545e+00,6.580429560629208474e-17
1.686748816708973919e+00,-1.631639566295958743e-16
1.687570218616307294e+00,6.297012336477919581e-17
1.688391620523640668e+00,-2.661377520273011665e-16
1.689213022430974043e+00,-2.359410274576853594e-16
1.690034424338307195e+00,-3.006119929805511903e-17
1.690855826245640570e+00,-6.018507903420705629e-17
1.691677228152973944e+00,2.663156289462245696e-17
1.692498630060307097e+00,1.249712410378994720e-17
1.693320031967640471e+00,1.281357561288415381e-16
1.694141433874973846e+00,6.106684033229878295e-17
1.694962835782307220e+00,7.567053537591017509e-17
1.695784237689640594e+00,1.463994805375387620e-16
1.696605639596973747e+00,1.929583405492658887e-17
1.697427041504307121e+00,2.824685472503640771e-17
