Defect,ZPL_eV,ZPL_nm,In_560_590_nm,lambda_p_nm,Fp_max,Delta_lambda_nm
hBN_5x5_CB,2.1688896298766256,571.6482355400108,True,587.7049591738788,26.08262711864407,16.056723633868046
hBN_5x5_CN,2.510003334444815,493.96027207837926,False,587.7049591738788,26.08262711864407,93.74468709549956
hBN_5x5_VB,4.133044348116039,299.98273078418714,False,587.7049591738788,26.08262711864407,287.7222283896917
hBN_5x5_C-VN,4.4411470490163385,279.171555527442,False,587.7049591738788,26.08262711864407,308.5334036464368
hBN_5x5_VN,4.499833277759253,275.5306371300482,False,587.7049591738788,26.08262711864407,312.1743220438306
hBN_5x5_pristine,1.0006668889629877,1239.0156441419526,False,587.7049591738788,26.08262711864407,651.3106849680738
