       Step     Time          Energy          fmax
LBFGS:    0 15:37:36     -404.420959        1.305883
LBFGS:    1 15:39:02     -404.572216        1.300522
LBFGS:    2 15:40:46     -404.775982        0.899849
LBFGS:    3 15:42:30     -404.915691        0.551871
LBFGS:    4 15:43:55     -404.949317        0.259041
LBFGS:    5 15:45:19     -404.964441        0.160174
LBFGS:    6 15:46:25     -404.968360        0.124861
LBFGS:    7 15:47:32     -404.969744        0.038086
